PARCELID,zonecode
M240270003800,UR
M240270003900,UR
M240270004000,UR
M240270004100,UR
M240270004200,UR
M240270004300,UR
M240270004400,UR
M240270004500,UR
M240270007500,CB
M240270007400,CB
M240270007300,CB
M240270007200,CB
M240270007600,CB
M240270007700,SR
M240270007800,SR
M240270007900,SR
J180020021102,SR
M240050000701,UR
M240050002600,UR
M240050000800,UR
M240050002500,UR
M240050001000,UR
M240050000900,UR
M240310022001,SR
M240310021901,SR
M240330005501,SR
M240330006000,SR
M240330005400,SR
M240330005200,SR
M240310016700,SR
M240310016800,SR
M240310016900,SR
M240310016701,SR
M240310016800,SR
M240310016900,SR
M240310022000,SR
M240310021801,SR
M240310021800,SR
M240310021900,SR
M240310022000,SR
M240310017100,SR
M240310017000,SR
M240310021700,SR
M240310022100,SR
M240310027700,SR
M240300001400,SR
M240310032100,SR
M240330003006,RC
M240330003005,RC
M240330003200,RC
M240330003000,RC
M240330003003,RC
M240330003002,RC
M240330003004,RC
M240330003001,RC
M240070101300,SR
M240070101800,SR
M240070101900,SR
M240070101100,SR
M240070101000,SR
M240070100900,SR
M240070100800,SR
M240070100700,SR
M240310008100,SR
M240310008000,SR
M240310032000,SR
M240310008600,SR
M240310008700,SR
M240310008900,SR
M240310008800,SR
M240310009100,SR
M240310009300,SR
M240310009200,SR
M240310009400,SR
M240310009500,SR
M240310009600,SR
M240310009700,SR
M240310009800,SR
M240310009900,SR
M240310010000,SR
M240310010200,SR
M240310010100,SR
M240310010300,SR
M240310010400,SR
M240310010500,SR
M240310010600,SR
M240310010700,SR
M240310016300,SR
M240310016200,SR
M240310016100,SR
M240310015000,SR
M240310014900,SR
M240310014800,SR
M240310014700,SR
M240310014500,SR
M240310014200,SR
M240310014100,SU
M240310014000,SU
M240310014300,SR
M240310014400,SR
M240310014600,SR
M240310017600,SR
M240310017500,SR
M240310017400,SR
M240310017300,SR
M240310017200,SR
M240310014600,SR
M240310017700,SR
M240310014400,SR
M240310014300,SR
M240310017800,SR
M240310017900,SU
M240310018000,SU
M240310017100,SR
M240310017200,SR
M240310017300,SR
M240310017400,SR
M240310017500,SR
M240310017600,SR
M240310021600,SR
M240310021500,SR
M240310021400,SR
M240310021300,SR
M240310021200,SR
M240310021100,SU
M240310021000,SU
M240310022200,SR
M240310022300,SR
M240310022400,SR
M240310022500,SR
M240310022600,SR
M240310022700,SR
M240310022800,SR
M240310022900,SR
M240310023000,SR
M240310023100,SR
M240310023200,SR
M240310023300,SR
M240310023400,SR
M240310026900,SR
M240310026800,SR
M240310026700,SR
M240310026600,SR
M240310026500,SR
M240310026300,SR
M240310026400,SR
M240310027000,SR
M240310027100,SR
M240310027200,SR
M240310027300,SR
M240310027400,SR
M240310027500,SR
M240310027600,SR
M240310027700,SR
M240310027600,SR
M240310027500,SR
M240310027400,SR
M240310027300,SR
M240310027200,SR
M240310027100,SR
M240310027000,SR
M240310027800,SR
M240310027900,SR
M240310028000,SR
M240310028001,SR
M240310028100,SR
M240310028200,SR
M240310028300,SR
M240310031600,SR
M240310031500,SR
M240310031400,SR
M240310031300,SR
M240310031200,SR
M240310031000,SR
M240310031100,SR
M240310031900,SR
M240310031800,SR
M240310031700,SR
M240310031700,SR
M240310010800,SR
M240310010900,SR
M240310010800,SR
M240310018100,SR
M240310020900,SR
M240310023500,SR
M240330002000,RC
M240330002300,RC
M240330001900,RC
M240330002400,I
M240330002500,CB
M240330002600,CB
M240330002700,CB
M240330002900,CB
M240300018201,UR
M240290002901,CB
M240330002100,RC
M240330002200,RC
M240330010903,SR
M240300010201,UR
M240210003001,UR
M240230008800,I
M240230009000,UR
M240230015800,UR
M240230023401,UR
M240230023200,UR
M240230022900,UR
M240230023500,UR
M240230023600,UR
M240230030200,UR
M240230000100,I
M240300024700,UR
M240300024600,UR
M240300024500,UR
M240300024400,CB
M240300024200,UR
M240300024100,UR
M240230023401,UR
M240300008500,I
M240300008500,SU
M240300009700,UR
M240300009800,UR
M240300009900,UR
M240300010000,UR
M240300018500,SU
M240310010301,UR
M240300010101,UR
M240300010100,UR
M240300010200,UR
M240300010300,UR
M240300010400,UR
M240300010500,UR
M240300010800,UR
M240300010600,UR
M240300010700,UR
M240300015401,UR
M240300018300,UR
M240300018400,UR
M240300015400,UR
M240300015500,CB
M240300010900,UR
M240300011000,UR
M240300011100,UR
M240300011200,UR
M240300011901,CB
M240300011700,CB
M240300011800,CB
M240300011600,CB
M240300011500,CB
M240300011400,CB
M240300011300,CB
M240300008700,I
M240300008800,I
M240300009000,I
M240300009400,I
M240300009500,I
M240300009600,I
M240300009300,I
M240300009200,I
M240300009100,I
M240300013300,UR
M240300013200,UR
M240300013100,UR
M240300013000,UR
M240300012900,UR
M240300013400,UR
M240300013500,UR
M240300013600,UR
M240300013800,UR
M240300013700,UR
M240300012800,UR
M240300012700,UR
M240300012600,UR
M240300012500,UR
M240300012400,UR
M240300012300,UR
M240300013900,UR
M240300014000,UR
M240300014100,UR
M240300014400,UR
M240300014300,UR
M240300014200,UR
M240300012200,UR
M240300012100,UR
M240300014500,UR
M240300014600,UR
M240300014700,UR
M240300014800,UR
M240300014900,UR
M240300015000,UR
M240300012000,CB
M240300015300,CB
M240300015200,CB
M240300015100,CB
M240230008800,I
M240230008700,I
M240230008600,I
M240230008500,I
M240230008400,I
M240230008900,UR
